id_data,data_completa,dia,mes,ano,trimestre,semestre,dia_semana,fim_semana,feriado
20160811,2016-08-11,11,8,2016,T3,2,Thursday,False,False
20160812,2016-08-12,12,8,2016,T3,2,Friday,False,False
20160813,2016-08-13,13,8,2016,T3,2,Saturday,True,False
20160814,2016-08-14,14,8,2016,T3,2,Sunday,True,False
20160815,2016-08-15,15,8,2016,T3,2,Monday,False,False
20160816,2016-08-16,16,8,2016,T3,2,Tuesday,False,False
20160817,2016-08-17,17,8,2016,T3,2,Wednesday,False,False
20160818,2016-08-18,18,8,2016,T3,2,Thursday,False,False
20160819,2016-08-19,19,8,2016,T3,2,Friday,False,False
20160820,2016-08-20,20,8,2016,T3,2,Saturday,True,False
20160821,2016-08-21,21,8,2016,T3,2,Sunday,True,False
20160822,2016-08-22,22,8,2016,T3,2,Monday,False,False
20160823,2016-08-23,23,8,2016,T3,2,Tuesday,False,False
20160824,2016-08-24,24,8,2016,T3,2,Wednesday,False,False
20160825,2016-08-25,25,8,2016,T3,2,Thursday,False,False
20160826,2016-08-26,26,8,2016,T3,2,Friday,False,False
20160827,2016-08-27,27,8,2016,T3,2,Saturday,True,False
20160828,2016-08-28,28,8,2016,T3,2,Sunday,True,False
20160829,2016-08-29,29,8,2016,T3,2,Monday,False,False
20160830,2016-08-30,30,8,2016,T3,2,Tuesday,False,False
20160831,2016-08-31,31,8,2016,T3,2,Wednesday,False,False
20160901,2016-09-01,1,9,2016,T3,2,Thursday,False,False
20160902,2016-09-02,2,9,2016,T3,2,Friday,False,False
20160903,2016-09-03,3,9,2016,T3,2,Saturday,True,False
20160904,2016-09-04,4,9,2016,T3,2,Sunday,True,False
20160905,2016-09-05,5,9,2016,T3,2,Monday,False,False
20160906,2016-09-06,6,9,2016,T3,2,Tuesday,False,False
20160907,2016-09-07,7,9,2016,T3,2,Wednesday,False,False
20160908,2016-09-08,8,9,2016,T3,2,Thursday,False,False
20160909,2016-09-09,9,9,2016,T3,2,Friday,False,False
20160910,2016-09-10,10,9,2016,T3,2,Saturday,True,False
20160911,2016-09-11,11,9,2016,T3,2,Sunday,True,False
20160912,2016-09-12,12,9,2016,T3,2,Monday,False,False
20160913,2016-09-13,13,9,2016,T3,2,Tuesday,False,False
20160914,2016-09-14,14,9,2016,T3,2,Wednesday,False,False
20160915,2016-09-15,15,9,2016,T3,2,Thursday,False,False
20160916,2016-09-16,16,9,2016,T3,2,Friday,False,False
20160917,2016-09-17,17,9,2016,T3,2,Saturday,True,False
20160918,2016-09-18,18,9,2016,T3,2,Sunday,True,False
20160919,2016-09-19,19,9,2016,T3,2,Monday,False,False
20160920,2016-09-20,20,9,2016,T3,2,Tuesday,False,False
20160921,2016-09-21,21,9,2016,T3,2,Wednesday,False,False
20160922,2016-09-22,22,9,2016,T3,2,Thursday,False,False
20160923,2016-09-23,23,9,2016,T3,2,Friday,False,False
20160924,2016-09-24,24,9,2016,T3,2,Saturday,True,False
